"filename", "language", "JavaScript", "HTML", "XML", "CSS", "Markdown", "comment", "blank", "total"
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_drone.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_drools.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_dustjs.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_dylan.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_edge.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_edge2.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_editorconfig.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_eex.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_ejs.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_elastic.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_elasticbeanstalk.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_elixir.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"e:\wiki\Projects\linux-cockpit\server\public\assets\apps\FileManager\vscode-icons\file_type_elm.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
